Class: Chrome_WidgetWin_1 | ID:  | Name: about:blank - Google Chrome | ControlType: ControlType.Window
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: PageActionView | ID:  | Name:  | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: PageActionView | ID:  | Name: Find | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: PageActionView | ID:  | Name: Addresses and more | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                Class: PageActionIconContainerView | ID:  | Name:  | ControlType: ControlType.Pane
                  Class: AiModePageActionIconView | ID:  | Name: Ask AI Mode in Google Search | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: LensOverlayHomeworkPageActionIconView | ID:  | Name: Ask Google | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: ZoomView | ID:  | Name: Zoom: 100% | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: CookieControlsIconView | ID:  | Name: Third-party cookies blocked | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: SavePaymentIconView | ID: view_1014 | Name: Save card | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: SavePaymentIconView | ID: view_1015 | Name: Save card | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: FilledCardInformationIconView | ID:  | Name: View your virtual card number | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: VirtualCardEnrollIconView | ID:  | Name: Add virtual card | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: MandatoryReauthIconView | ID:  | Name: Enable mandatory re-authentication | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: StarView | ID: view_1005 | Name: Bookmark this tab | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                Class: ImageButton | ID:  | Name: Clear input | ControlType: ControlType.Button
              Class: ExtensionsToolbarDesktop | ID:  | Name:  | ControlType: ControlType.Pane
