case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,593,5,15,16,16,16,16
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,639,8,15,16,16,16,16
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,560,3,15,16,16,16,16
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,544,9,3,3,7,7,7
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,577,13,3,3,10,10,10
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,561,11,3,3,8,8,8
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,558,7,3,2,15,15,15
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,574,4,11,15,16,16,16
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,608,5,15,16,16,16,16
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,592,14,4,4,8,8,8
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,749,13,17,16,33,33,33
